ldsId,passageTime,passagetimeMs,loopPairId,startLoop,endLoop,vehicleLength,vehicleSpeed
1537,1643083759,325,2,3,4,380,99
1537,1643083760,861,1,1,2,475,119
1537,1643083773,268,2,3,4,371,111
1537,1643083779,691,2,3,4,406,101
1537,1643083801,396,2,3,4,378,120
1537,1643083849,376,2,3,4,457,117
1537,1643083855,301,3,5,6,711,92
1537,1643083859,239,2,3,4,355,109
1537,1643083877,809,2,3,4,441,115
1537,1643083882,291,1,1,2,300,119
1537,1643083882,452,3,5,6,427,95
1537,1643083882,796,2,3,4,318,107
1537,1643083904,266,2,3,4,380,107
1537,1643083905,706,2,3,4,371,126
1537,1643083932,110,2,3,4,693,108
1537,1643083954,587,2,3,4,441,121
1537,1643083963,511,2,3,4,702,119
1537,1643083980,118,3,5,6,351,85
1537,1643083992,134,3,5,6,426,126
1537,1643083993,643,3,5,6,424,117
1537,1643084036,684,2,3,4,390,114
1537,1643084039,405,2,3,4,398,111
1537,1643084045,112,3,5,6,445,97
1537,1643084045,851,1,1,2,396,109
1537,1643084048,7,2,3,4,391,101
1537,1643084056,693,2,3,4,432,124
1537,1643084073,895,3,5,6,363,105
1537,1643084085,468,2,3,4,469,124
1537,1643084094,159,3,5,6,481,100
1537,1643084105,972,3,5,6,396,91
1537,1643084162,481,2,3,4,720,83
1537,1643084164,315,3,5,6,410,104
1537,1643084183,614,2,3,4,413,122
1537,1643084190,224,2,3,4,428,118
1537,1643084217,310,3,5,6,912,92
1537,1643084225,378,2,3,4,358,116
1537,1643084227,628,1,1,2,471,122
1537,1643084228,397,2,3,4,362,95
1537,1643084233,12,2,3,4,346,105
1537,1643084241,948,2,3,4,352,110
1537,1643084246,339,3,5,6,349,95
1537,1643084252,243,1,1,2,266,147
1537,1643084254,593,2,3,4,407,100
1537,1643084261,249,2,3,4,328,98
1537,1643084276,77,3,5,6,382,116
1537,1643084282,678,3,5,6,472,94
1537,1643084283,523,2,3,4,426,119
1537,1643084286,475,2,3,4,387,100
1537,1643084288,542,3,5,6,368,101
1537,1643084300,834,2,3,4,388,103
1537,1643084304,718,2,3,4,393,109
1537,1643084308,872,2,3,4,342,101
1537,1643084309,684,2,3,4,413,102
1537,1643084337,419,3,5,6,654,108
1537,1643084354,6,2,3,4,450,123
1537,1643084383,769,2,3,4,64,122
1537,1643084394,713,2,3,4,514,130
1537,1643084398,409,2,3,4,470,104
1537,1643084405,249,2,3,4,420,111
1537,1643084420,776,3,5,6,398,92
1537,1643084438,536,3,5,6,337,98
1537,1643084439,419,3,5,6,414,98
1537,1643084457,258,1,1,2,458,142
1537,1643084457,564,2,3,4,357,126
1537,1643084459,973,2,3,4,518,104
1537,1643084473,76,2,3,4,418,75
1537,1643084474,314,3,5,6,385,75
1537,1643084478,361,3,5,6,327,97
1537,1643084511,170,3,5,6,78,83
1537,1643084511,211,2,3,4,433,107
1537,1643084514,776,2,3,4,397,118
1537,1643084545,487,2,3,4,396,114
